top - 01:17:43 up 1 day,  4:42,  1 user,  load average: 0,24, 1,16, 1,43
Tasks: 293 total,   3 running, 290 sleeping,   0 stopped,   0 zombie
%Cpu(s): 35,2 us,  5,6 sy,  0,0 ni, 59,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7817,7 total,    474,8 free,   3025,5 used,   4317,3 buff/cache
MiB Swap:   2048,0 total,   2041,9 free,      6,1 used.   3668,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   7560 colord    20   0  248864  14156   8888 S   0,0   0,2   0:00.36 colord
   9693 root      20   0  317456  10476   7980 S   0,0   0,1   0:00.41 gdm-ses+
  10005 eduardo   20   0   19416  10712   8056 S   0,0   0,1   0:05.10 systemd
  10006 eduardo   20   0  169324   3140      0 S   0,0   0,0   0:00.00 (sd-pam)
  10032 eduardo    9 -11 3386348  20328  15288 S   0,0   0,3   2:48.93 pulseau+
  10034 eduardo   39  19  661796  22596  14096 S   0,0   0,3   0:01.98 tracker+
  10037 eduardo   20   0    9044   6188   3868 S   0,0   0,1   0:09.04 dbus-da+
  10071 eduardo   20   0  242248   7800   6848 S   0,0   0,1   0:00.10 gvfsd
  10076 eduardo   20   0  378344   6460   5804 S   0,0   0,1   0:00.01 gvfsd-f+
  10082 eduardo   20   0  316844   9716   7632 S   0,0   0,1   0:07.93 gvfs-ud+
  10095 eduardo   20   0  242792   7692   6828 S   0,0   0,1   0:02.65 gnome-k+
  10103 eduardo   20   0  239028   6920   6216 S   0,0   0,1   0:00.06 gvfs-go+
  10108 eduardo   20   0  702876  68156  30540 S   0,0   0,9   0:14.99 goa-dae+
  10121 eduardo   20   0  317288   8380   7300 S   0,0   0,1   0:01.22 goa-ide+
  10127 eduardo   20   0  240644   7520   6684 S   0,0   0,1   0:00.08 gvfs-gp+
  10136 eduardo   20   0  238236   6080   5472 S   0,0   0,1   0:00.06 gvfs-mt+
  10142 eduardo   20   0  319256   9072   8072 S   0,0   0,1   0:03.67 gvfs-af+
  10159 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
  10166 eduardo   20   0  166548   6572   5948 S   0,0   0,1   0:00.01 gdm-x-s+
  10282 eduardo   20   0  242428   7804   7132 S   0,0   0,1   0:00.01 gnome-k+
  10715 eduardo   20   0  190752  13476  11992 S   0,0   0,2   0:00.09 gnome-s+
  11016 eduardo   20   0    6040    452      0 S   0,0   0,0   0:00.41 ssh-age+
  11041 eduardo   20   0  305532   6780   6132 S   0,0   0,1   0:00.02 at-spi-+
  11047 eduardo   20   0    7376   3832   3368 S   0,0   0,0   0:01.90 dbus-da+
  11121 eduardo   20   0   92592   4276   3860 S   0,0   0,1   0:00.00 gnome-s+
  11139 eduardo   20   0  486844  15572  12972 S   0,0   0,2   0:00.57 gnome-s+
  11496 eduardo   20   0  314100   8824   6816 S   0,0   0,1   0:56.39 ibus-da+
  11506 eduardo   20   0  239176   7080   6440 S   0,0   0,1   0:00.01 ibus-dc+
  11507 eduardo   20   0  275408  28500  17412 S   0,0   0,4   0:13.06 ibus-ex+
  11515 eduardo   20   0  196028  23820  17756 S   0,0   0,3   0:00.61 ibus-x11
  11521 eduardo   20   0  239300   7856   6684 S   0,0   0,1   0:01.34 ibus-po+
  11535 eduardo   20   0  162836   7424   6648 S   0,0   0,1   0:10.42 at-spi2+
  11577 eduardo   20   0  238132   4816   4380 S   0,0   0,1   0:00.02 xdg-per+
  11584 eduardo   20   0  795000  20000  15896 S   0,0   0,2   0:01.58 gnome-s+
  11622 eduardo   20   0  156940   7084   4956 S   0,0   0,1   0:00.15 dconf-s+
  11692 eduardo   20   0 1011120  32416  23764 S   0,0   0,4   0:01.07 evoluti+
  11763 eduardo   20   0 2662496  25436  20216 S   0,0   0,3   0:00.09 gjs
  11789 eduardo   20   0  312308   6624   6012 S   0,0   0,1   0:00.02 gsd-a11+
  11790 eduardo   20   0  773268  25952  19288 S   0,0   0,3   0:01.35 gsd-col+
  11791 eduardo   20   0  376264  15660  13720 S   0,0   0,2   0:00.03 gsd-dat+
  11794 eduardo   20   0  314508   7696   6892 S   0,0   0,1   0:05.19 gsd-hou+
  11797 eduardo   20   0  417996  24272  17728 S   0,0   0,3   0:00.64 gsd-key+
  11798 eduardo   20   0 1096164  27048  19996 S   0,0   0,3   0:01.18 gsd-med+
  11799 eduardo   20   0  758964  27000  20012 S   0,0   0,3   0:01.33 gsd-pow+
  11800 eduardo   20   0  324480  10756   9316 S   0,0   0,1   0:00.03 gsd-pri+
  11802 eduardo   20   0  459632   6144   5512 S   0,0   0,1   0:00.13 gsd-rfk+
  11803 eduardo   20   0  238168   6068   5492 S   0,0   0,1   0:00.03 gsd-scr+
  11804 eduardo   20   0  467620  10508   8800 S   0,0   0,1   0:03.63 gsd-sha+
  11809 eduardo   20   0  391544   8536   7700 S   0,0   0,1   0:00.03 gsd-sma+
  11810 eduardo   20   0  322000   9112   8096 S   0,0   0,1   0:00.02 gsd-sou+
  11813 eduardo   20   0  461408   7324   6552 S   0,0   0,1   0:00.05 gsd-usb+
  11814 eduardo   20   0  343548  23792  17308 S   0,0   0,3   0:00.67 gsd-wac+
  11821 eduardo   20   0  390396   7940   7044 S   0,0   0,1   0:00.02 gsd-wwan
  11825 eduardo   20   0  344860  25272  18484 S   0,0   0,3   0:00.92 gsd-xse+
  11875 eduardo   20   0  231800   6340   4628 S   0,0   0,1   0:00.09 gsd-dis+
  11893 eduardo   20   0 1746768  88548  52944 S   0,0   1,1   0:10.20 evoluti+
  11909 eduardo   20   0  165360   7060   6432 S   0,0   0,1   0:14.29 ibus-en+
  11934 eduardo   20   0  344720  14420  12528 S   0,0   0,2   0:00.18 gsd-pri+
  11977 eduardo   20   0  316640   8308   7044 S   0,0   0,1   0:00.18 gvfsd-t+
  12116 eduardo   20   0 1305284 303268  37284 S   0,0   3,8   0:22.24 snap-st+
  12164 eduardo   20   0  533792   6340   5724 S   0,0   0,1   0:01.64 xdg-doc+
  12193 eduardo   20   0  164948   6540   5776 S   0,0   0,1   0:00.16 gvfsd-m+
  12279 eduardo   20   0 1606840  44532  30248 S   0,0   0,6   0:05.79 evoluti+
  12501 eduardo   20   0  757764  26860  22772 S   0,0   0,3   0:00.31 evoluti+
  13607 eduardo   20   0  612964  10768   8916 S   0,0   0,1   0:04.52 xdg-des+
  13641 eduardo   20   0  492668  24864  18484 S   0,0   0,3   0:01.93 xdg-des+
  20077 eduardo   20   0  493980  29932  23556 S   0,0   0,4   0:03.60 update-+
  23233 eduardo   20   0   14528   6124   3364 S   0,0   0,1   0:00.46 bash
  24924 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop37
  25077 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 loop38
  25090 eduardo   20   0  393540  39852  26352 S   0,0   0,5   0:00.88 seahorse
  25091 eduardo   20   0  994168  51100  38644 S   0,0   0,6   0:01.53 gnome-c+
